-52.80882353	37	-10.70588235
-51.92647059	38.35294118	11.70588235
-57.48529412	17.29411765	-8.588235294
-56.69117647	19.64705882	14.47058824
-60.83823529	-1.823529412	-6.352941176
-60.04411765	0.529411765	16.70588235
-62.64705882	-20.52941176	-5.588235294
-62.11764706	-19.17647059	17.76470588
-62.11764706	-39.82352941	-4.235294118
-61.58823529	-38.47058824	19.11764706
-59.07352941	-58.17647059	-4
-58.05882353	-57.70588235	19.58823529
-53.02941176	-76.11764706	-3.823529412
-52.01470588	-75.64705882	19.76470588
-43.89705882	-92.76470588	-1.588235294
-43.67647059	-91.05882353	20.35294118
-61.01470588	-42.52941176	-26.23529412
-57.97058824	-60.88235294	-26
-51.66176471	-77.11764706	-25.05882353
